DEBUG 2024-12-02 14:33:39,451 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\conf\__init__.py first seen with mtime 1724695075.758026
DEBUG 2024-12-02 14:33:39,451 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\db\backends\sqlite3\operations.py first seen with mtime 1724695078.6483066
DEBUG 2024-12-02 14:33:39,451 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\template\smartif.py first seen with mtime 1724695078.8084576
DEBUG 2024-12-02 14:33:39,451 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\hmac.py first seen with mtime 1711640148.0040214
DEBUG 2024-12-02 14:33:39,452 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\DLLs\_overlapped.pyd first seen with mtime 1727870715.152836
DEBUG 2024-12-02 14:33:39,452 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\core\files\storage\memory.py first seen with mtime 1724695078.4519086
DEBUG 2024-12-02 14:33:39,452 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\urllib3\util\connection.py first seen with mtime 1726050763.9668686
DEBUG 2024-12-02 14:33:39,452 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\urllib3\__init__.py first seen with mtime 1726050763.9431322
DEBUG 2024-12-02 14:33:39,452 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\utils\termcolors.py first seen with mtime 1724695078.8551745
DEBUG 2024-12-02 14:33:39,453 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\core\checks\model_checks.py first seen with mtime 1724695078.3933532
DEBUG 2024-12-02 14:33:39,453 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\encodings\idna.py first seen with mtime 1711640140.6929755
DEBUG 2024-12-02 14:33:39,453 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\core\__init__.py first seen with mtime 1724695078.3803017
DEBUG 2024-12-02 14:33:39,453 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\re\__init__.py first seen with mtime 1711640174.9871492
DEBUG 2024-12-02 14:33:39,453 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\requests\__version__.py first seen with mtime 1726050765.2170699
DEBUG 2024-12-02 14:33:39,454 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\urllib3\util\retry.py first seen with mtime 1726050763.9722588
DEBUG 2024-12-02 14:33:39,454 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\db\backends\ddl_references.py first seen with mtime 1724695078.5741713
DEBUG 2024-12-02 14:33:39,454 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\main\views.py first seen with mtime 1733139105.6407638
DEBUG 2024-12-02 14:33:39,455 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\core\servers\__init__.py first seen with mtime 1724695078.5566244
DEBUG 2024-12-02 14:33:39,457 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\db\backends\base\__init__.py first seen with mtime 1724695078.5774255
DEBUG 2024-12-02 14:33:39,459 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\quopri.py first seen with mtime 1711640174.9726553
DEBUG 2024-12-02 14:33:39,459 autoreload File C:\MyPythonProjects\IT-Academy\Python\repo\-Md-PT1-76-24\Tasks\Plotnitskiy\Web project\TechStore\Env\Lib\site-packages\django\contrib\admin\views\__init__.py first seen with mtime 1724695076.4906824
DEBUG 2024-12-02 14:33:39,460 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.2032.0_x64__qbz5n2kfra8p0\Lib\asyncio\streams.py first seen with mtime 1711640133.5199544
